sub_forum_id,sub_forum_name,base_url,description,topics_count,posts_count,last_active_datetime_str,last_active_by,last_post_id
108,Time after time,https://www.themagiccafe.com/forums/viewforum.php?forum=108&3237,"Discussions on the importance of practice and rehearsal, and the difference between the two. Topics may include discipline, and advice or tips on forming good working habits in this important area.",168,"3,237","Feb 27, 2025 05:42 am",smithart,9950845
211,The Society of American Magicians Youth,https://www.themagiccafe.com/forums/viewforum.php?forum=211&444,"The Society of American Magicians Youth! This forum is for the discussion of topics involving the S.A.M.Y. Posts may include questions about joining, events, etc. Remember, S.A.M.Y. subject matter only.",117,444,"Sep 28, 2022 11:21 pm",Russo,9786487
311,The Essential Magic Conference,https://www.themagiccafe.com/forums/viewforum.php?forum=311&246,The Essential Magic Conference is the world’s first web conference for magicians. 33 speakers spread over 3 days of conference streamed live worldwide! This forum is for discussions relating to the EMC only - All other content will be removed.,21,246,"Mar 20, 2025 05:56 am",MagicByVincent,9955170
2,The workers,https://www.themagiccafe.com/forums/viewforum.php?forum=2&452574,Serious discussions surrounding tricks and effects which use pure skill and sleight of hand. Lovers of the pasteboards unite!,"26,238","452,574","May 25, 2025 10:21 pm",vinsmagic,9964363
135,A turn of the page,https://www.themagiccafe.com/forums/viewforum.php?forum=135&4328,"This area dedicated to discussions on the history and origins of magic literature, including books, manuscripts, monographs, magazines and the like.",536,"4,328","May 16, 2025 02:14 am",smithart,9963072
95,What's Cooking?,https://www.themagiccafe.com/forums/viewforum.php?forum=95&817,"Look here to learn about the latest products, contests and special offers that our Cafe sponsors are offering inside!",817,817,"Mar 30, 2025 08:12 pm",Steve Brooks,9956800
172,The Illusionarium - by Peter Loughran,https://www.themagiccafe.com/forums/viewforum.php?forum=172&19,"Featuring concept, design, performance, and theory in the world of illusion.",13,19,"May 28, 2010 12:46 pm",Peter Loughran,6607785
237,The Science of Magic,https://www.themagiccafe.com/forums/viewforum.php?forum=237&1493,"Magic and science working side by side. What are the possibilities? Discussions may also include how scientific principles have fooled the uneducated since the dawn of time. How have times changed, if at all? This is the forum for such topics.",153,"1,493","May 23, 2025 12:39 am",Frank Yuen,9963970
105,Helping hands,https://www.themagiccafe.com/forums/viewforum.php?forum=105&1079,"Discussions on the use of assistants in our shows, be they on the payroll or taken from the audience. This area is also the place where professional assistants may gather to discuss the craft.",118,"1,079","Feb 14, 2022 08:48 am",Rodentia,9740438
196,The International Brotherhood of Magicians!,https://www.themagiccafe.com/forums/viewforum.php?forum=196&7117,"This forum is for the discussion of topics involving the I.B.M. Posts may include questions about joining, club meetings, lectures, convention information and the like. Remember, I.B.M. subject matter only.","1,271","7,117","May 25, 2025 06:34 pm",MagicByVincent,9964337
201,Deckless!,https://www.themagiccafe.com/forums/viewforum.php?forum=201&20201,"Topics and discussions centering around tricks which do not use an entire deck of cards (e.g, a packet trick, torn & restored, card warp, etc).","1,489","20,201","May 25, 2025 11:38 pm",Dollarbill,9964369
9,Knots and loops,https://www.themagiccafe.com/forums/viewforum.php?forum=9&16989,General discussion on rope magic,"1,252","16,989","May 25, 2025 06:12 pm",Levi Bennett,9964335
12,Lights...camera...action!,https://www.themagiccafe.com/forums/viewforum.php?forum=12&4138,"Topics covering performing on television, video, film, radio, and other media.",703,"4,138","Mar 3, 2025 12:12 pm",Slim King,9951737
231,MAGICSEEN - Britain's brightest independent magic magazine,https://www.themagiccafe.com/forums/viewforum.php?forum=231&104,This area provided for topics and discussions pertaining to the contents of magicseen magazine. All off topic material will be deleted.,27,104,"Jun 19, 2024 10:07 am",maxxmagic,9913714
358,The Shift: Picks of the Week by Chris Ramsay,https://www.themagiccafe.com/forums/viewforum.php?forum=358&374,"The Shift is a mash-up of product testing, sessioning and whatever else there is to do! Chris Ramsay delivers not only an in depth opinion on his two picks of the week but tests them out on the streets! He'll also bring you guys along for any conventions, jams or lectures that he attends! Look Inside!",110,374,"Jun 24, 2020 09:09 am",SuitableSID,9584355
219,Enhancing Your Ability to Work Wonders - by Brad Burt,https://www.themagiccafe.com/forums/viewforum.php?forum=219&58,Essays on the Art and Craft of Being a Magician,57,58,"Jul 31, 2012 04:24 pm",Brad Burt,7632702
5,Table hoppers & party strollers,https://www.themagiccafe.com/forums/viewforum.php?forum=5&118064,"General discussion on working restaurants and bars, as well as doing strolling magic","6,551","118,064","May 25, 2025 11:29 pm",smithart,9964368
218,Latest and Greatest?,https://www.themagiccafe.com/forums/viewforum.php?forum=218&547548,"This forum provided as a place where folks can discuss the latest rumors, read announcements and speculate about the obvious hyperbole surrounding many of the upcoming products that are released into magicdom. Will they be genuine miracles or mere rhetoric? We ponder the question...","18,971","547,548","May 25, 2025 08:54 pm",Hawkan,9964355
71,Tricks & Accessories,https://www.themagiccafe.com/forums/viewforum.php?forum=71&118,"In your show, or in a drawer?",118,118,"Sep 25, 2022 09:11 am",Steve Brooks,9785808
1,Welcome to The Magic Café,https://www.themagiccafe.com/forums/viewforum.php?forum=1&2,Thank you for joining us...,2,2,"Sep 7, 2001 09:01 pm",Steve Brooks,38
38,Announcements (Please Read),https://www.themagiccafe.com/forums/viewforum.php?forum=38&1624,Check here for news and information concerning the Café.,103,"1,624","Mar 31, 2025 04:34 am",Steve Brooks,9956854
39,When dining with us...(Please Read),https://www.themagiccafe.com/forums/viewforum.php?forum=39&8,"Café rules & etiquette, Posting guidelines, Magic transactions, Secret sessions, Avatars, Icons and How to make a post.",8,8,"Dec 28, 2007 03:55 am",Steve Brooks,5354523
10,Finger/stage manipulation,https://www.themagiccafe.com/forums/viewforum.php?forum=10&43552,"Topics on billiard balls, thimbles, pipes, cigars or cigarettes, candles, dancing canes, card productions, zombie and more!","3,548","43,552","May 17, 2025 05:21 pm",gourdini,9963269
134,Magicians of old,https://www.themagiccafe.com/forums/viewforum.php?forum=134&11102,"This forum dedicated specifically to the discussion of magicians from our magical past, including such greats as Robert-Houdin, Houdini, Blackstone, Thurston, Carter, Marlo, Vernon and others.","1,297","11,102","May 19, 2025 04:35 am",motown,9963470
98,From Soup to Nuts,https://www.themagiccafe.com/forums/viewforum.php?forum=98&2325,"What do you look for when shopping for magic? What criteria do you use when deciding which dealer receives your hard earned cash, and why some may never hear from you again? This forum is NOT to discuss specific dealers, but rather the things they do that make you glad, or make you mad. Voice your ideas and thoughts here.",299,"2,325","Mar 23, 2025 11:38 am",David Todd,9955673
22,You are getting sleepy...very sleepy...,https://www.themagiccafe.com/forums/viewforum.php?forum=22&28870,Serious discussions on the art and practice of Hypnosis.,"1,727","28,870","Mar 21, 2025 03:42 am",Ray Pierce,9955345
43,A Special Message For Lurkers,https://www.themagiccafe.com/forums/viewforum.php?forum=43&1,Please read...,1,1,"Sep 23, 2001 02:25 pm",Steve Brooks,701
203,Gaffed & Funky,https://www.themagiccafe.com/forums/viewforum.php?forum=203&36962,"This forum dedicated to discussions pertaining to the use of gimmicked or specialty packs (e.g, Invisible deck, Stripper, Svengali, Mirage, Split, etc). Topics may also include custom printed cards (e.g, Double face, 31/2 clubs, clear cards and other odd varieties).","3,794","36,962","May 25, 2025 05:24 pm",obsidian52,9964330
338,Hot off the Press!,https://www.themagiccafe.com/forums/viewforum.php?forum=338&822,"This forum provided as a place where you can discuss the latest rumors, read announcements and speculate about the obvious hyperbole surrounding many of the upcoming decks that are being released into the card community. Will they indeed be the next Federal 52 or something of the dollar store variety?",370,822,"May 20, 2025 08:39 am",Shawn Farquhar,9963591
7,Grand illusion,https://www.themagiccafe.com/forums/viewforum.php?forum=7&113428,General discussion on large illusions.,"8,727","113,428","May 25, 2025 12:03 pm",serg,9964297
189,"Pardon me, sir...",https://www.themagiccafe.com/forums/viewforum.php?forum=189&1777,Discussions pertaining to the art and practice of theatrical pickpocketing and the classic watch steal.,239,"1,777","Aug 13, 2024 03:26 am",Dannydoyle,9921730
322,VANISH - The International Magic Magazine,https://www.themagiccafe.com/forums/viewforum.php?forum=322&208,Topics and discussions relating to the pages of this electronic magazine. All other subject matter will be removed.,96,208,"Jul 12, 2024 12:54 am",Nat,9917339
66,"What happened, was this...",https://www.themagiccafe.com/forums/viewforum.php?forum=66&4879,"A place to tell stories and experiences from shows, tours or performances you have done. No questions, advice, or theories...just stories!",622,"4,879","May 23, 2025 02:40 pm",Pete Legend,9964028
310,MINDvention,https://www.themagiccafe.com/forums/viewforum.php?forum=310&987,MINDvention is THE annual mentalism convention held in Las Vegas open to anyone interested in mystery entertainment and mentalism. This forum is dedicated to discussions related to the MINDvention convention - all other content will be removed.,109,987,"May 3, 2025 02:53 pm",John C,9961548
202,Trick coin trickery,https://www.themagiccafe.com/forums/viewforum.php?forum=202&55425,"Discussions of tricks or effects which seemingly use ordinary filthy lucre, but do not ( Scotch & Soda, Coin in bottle, etc )","4,119","55,425","May 22, 2025 03:48 pm",Mb217,9963915
115,Ever so sleightly,https://www.themagiccafe.com/forums/viewforum.php?forum=115&83039,"Discussions on magic that uses sleight of hand skills, such as Cups & Balls, Sponge Balls, the Chop Cup and so on.","4,795","83,039","May 16, 2025 05:06 pm",motown,9963147
168,The Return Of The (not so) Youthful Curmudgeon! - by Paul Chosse,https://www.themagiccafe.com/forums/viewforum.php?forum=168&47,"Comments on the magic scene, past, present, and future. Plus: Close-up magic with just about anything. How-to, how not to, and why. In either case, you ought to bother...",42,47,"Feb 20, 2021 09:09 pm",P.Jane,9655558
173,Notes from a Designer's Logbook - by George Ledo,https://www.themagiccafe.com/forums/viewforum.php?forum=173&88,"Thoughts, ideas, and essays on imagination, creativity, prop design, and stagecraft... along with some techniques from the wonderful world of theater.",46,88,"May 6, 2025 05:44 pm",smithart,9961862
273,APPS-alutely,https://www.themagiccafe.com/forums/viewforum.php?forum=273&9153,"This area reserved for the discussion of APPS for the Apple iPhone, iPad, iTouch and various Android based devices. All other subject matter will be removed.",774,"9,153","Apr 17, 2025 04:40 pm",Praterzauber,9959362
16,The Good News!,https://www.themagiccafe.com/forums/viewforum.php?forum=16&22468,Topics on the art of gospel magic.,"2,056","22,468","May 24, 2025 04:09 am",daffydoug,9964132
26,The workshop,https://www.themagiccafe.com/forums/viewforum.php?forum=26&48500,This area is for those interested in building their own props,"4,797","48,500","May 2, 2025 04:18 am",Anverdi-museum,9961382
185,"Rectangles and pentagons and squares, oh my!",https://www.themagiccafe.com/forums/viewforum.php?forum=185&445,"This forum is for the discussion of the ancient art of Origami. Originating in Japan, the art and science of folding paper into shapes and its relationship with mathematics is a fascinating study.",70,445,"Apr 21, 2024 12:12 am",Ba Ba Booey,9904186
294,The Magic Newswire by Dodd Vickers,https://www.themagiccafe.com/forums/viewforum.php?forum=294&267,"The Original Magic News & Information Portal On The Internet now has its very own discussion forum here on the Café. Do you have a question for Dodd, this is the place to post it. This area is for Magic Newswire topics only, all other material will be removed. Look inside for all the details!",32,267,"Feb 24, 2025 07:44 pm",Jerry,9950299
52,Magic...at a moment's notice!,https://www.themagiccafe.com/forums/viewforum.php?forum=52&16214,"Often, out of the blue, you are requested to perform. Are you prepared? What do you do? This area is to discuss the keen art of 'Impromptu' and 'Improvisational' magic.",722,"16,214","May 17, 2025 12:44 am",Wravyn,9963198
59,Let there be magic!,https://www.themagiccafe.com/forums/viewforum.php?forum=59&2489,"You have an idea you feel is commercial, now what do you do? Where do you sell it? How much do you ask? This forum is for the general discussion of magic publishing.",383,"2,489","Apr 19, 2025 12:55 am",chappy,9959554
50,The Magic Café Tech Help Area,https://www.themagiccafe.com/forums/viewforum.php?forum=50&11600,"Are you having technical issues with the forums? If so, explain your situation or ask your questions here.","2,991","11,600","May 23, 2025 11:10 am",Dave Scribner,9964006
252,Friend of a Friend,https://www.themagiccafe.com/forums/viewforum.php?forum=252&803,"The exploration and discussion centering around Urban Legends. All other subject matter (e.g, frauds, hoaxes, etc) will be removed.",43,803,"May 9, 2025 11:48 am",Slim King,9962160
259,Tenyo Elite,https://www.themagiccafe.com/forums/viewforum.php?forum=259&1660,This forum reserved for discussions surrounding the Tenyo Elite line of magic tricks which are produced by JPS Magic Studios Ltd. Which tricks will be produced? What are your personal favorites? Tenyo fans rejoice!,52,"1,660","Oct 9, 2022 02:12 pm",Magic Dust,9788552
274,APPealing or APPalling?,https://www.themagiccafe.com/forums/viewforum.php?forum=274&2620,"This area is specifically for reviews of APPS for the Apple iPhone, iPad, iTouch and various Android based devices. Remember, reviews only. All other subject matter will be removed.",153,"2,620","May 22, 2025 11:52 am",AritraB,9963865
204,The Big and the Small,https://www.themagiccafe.com/forums/viewforum.php?forum=204&2700,This area reserved for posts which deal in the specialty arena of tricks and effects using jumbo or miniature playing cards.,373,"2,700","May 3, 2025 05:11 pm",magicands,9961566
183,Do you see what I see?,https://www.themagiccafe.com/forums/viewforum.php?forum=183&249,"Serious discussions on the theatrical art and performance of pantomime, mimicry and general mime. Topics include history, inspiration and technique.",32,249,"Feb 7, 2022 10:33 pm",stevevoltz,9738385
167,My Side Of The Screen - by Steve Brooks,https://www.themagiccafe.com/forums/viewforum.php?forum=167&5,"Thoughts and views on magic, the internet, and anything else that's on my mind.",4,5,"Oct 29, 2006 07:33 am",Steve Brooks,4774813
19,Oldies... but goodies!,https://www.themagiccafe.com/forums/viewforum.php?forum=19&5496,"Discussion on magic collecting (posters,autographs,old props,etc)","1,019","5,496","May 14, 2025 07:21 am",Yash Pataskar,9962753
181,Ballooning 101,https://www.themagiccafe.com/forums/viewforum.php?forum=181&14574,"This forum dedicated to balloons and ballooning. Topics include technique, sculpture basics, types of balloons, etc.","1,619","14,574","May 8, 2025 03:41 am",Dollarbill,9962043
23,Believe it or not...,https://www.themagiccafe.com/forums/viewforum.php?forum=23&34029,"Discussions of life on the midway - fire walking, eating glass, blockhead, bed of nails and other side-show stuff. Topics may include carnival history, games, lingo, grindshows, flea circus', exhibits, etc.","3,139","34,029","May 17, 2025 02:32 am",critter,9963208
226,GENII - The Conjurors' Magazine,https://www.themagiccafe.com/forums/viewforum.php?forum=226&2238,Serious discussions and topics regarding the latest content found within the pages of GENII magazine. All other subject matter will be removed.,386,"2,238","May 20, 2025 11:24 am",ljh21,9963595
130,Everything old is new again,https://www.themagiccafe.com/forums/viewforum.php?forum=130&6491,"Discussions on the history and origins of tricks & effects, props, apparatus, gimmicks and the like.",667,"6,491","Feb 26, 2025 08:19 pm",Jason Palter,9950783
99,Magical equations,https://www.themagiccafe.com/forums/viewforum.php?forum=99&6497,Discussions on the use of magic effects that rely on properties of arithmetic for success. Topics may also include magic squares and the like.,757,"6,497","Apr 23, 2025 10:30 am",MacIrish,9960192
170,Scott's Thoughts - by Scott Wells,https://www.themagiccafe.com/forums/viewforum.php?forum=170&43,"Theories, thoughts, observations, opinions and reviews on myriad magical subjects.",19,43,"Sep 7, 2010 02:19 am",Scott Wells,6735994
336,The Card Studio,https://www.themagiccafe.com/forums/viewforum.php?forum=336&487,"Thinking about creating your own deck? This forum is for you! Serious discussions on playing card design, crowd funding, printing sources, marketing, etc.",153,487,"Apr 13, 2025 03:33 pm",Daniel Ulzen,9958895
210,Paper money madness!,https://www.themagiccafe.com/forums/viewforum.php?forum=210&14179,"This area for discussions of tricks and effects using paper currency.(Misled, $100 Bill switch, Bill tube, etc)","1,205","14,179","May 18, 2025 03:00 am",Magic Mark,9963333
17,The little darlings,https://www.themagiccafe.com/forums/viewforum.php?forum=17&181820,"Topics on the challenging art of performing for children, including birthday shows,school programs, and magic with a special message.","10,533","181,820","May 17, 2025 02:38 pm",Russo,9963241
24,Now that’s funny!,https://www.themagiccafe.com/forums/viewforum.php?forum=24&103553,General discussion on comedy magic,"1,872","103,553","May 24, 2025 01:57 am",robberry1,9964120
386,'Nothing But The Truth' by Craig Petty,https://www.themagiccafe.com/forums/viewforum.php?forum=386&186,"A sporadically posted video show voicing personal commentary on the magic community at large. The show also includes reviews of tricks, books, videos, downloads, lectures and conventions. This is the official forum to discuss the various episodes. Any off topic discussions will be removed with no explanation given. Enter at your own risk...",12,186,"Dec 13, 2021 01:54 pm",Dougini,9723771
225,MAGIC - The Magazine For Magicians,https://www.themagiccafe.com/forums/viewforum.php?forum=225&1737,"This forum provided for discussions and topics regarding the latest happenings, articles, etc. which appear within the pages of MAGIC magazine. All off-topic matter will be deleted.",265,"1,737","May 29, 2023 01:13 am",Greg Kiefer,9838861
303,Mentally Speaking,https://www.themagiccafe.com/forums/viewforum.php?forum=303&27031,"This area is specifically for the review of mentalism related items. This can include props, Dvds, books, monographs, pamphlets, manuscripts, notes, eBooks, PDF's and downloads.","1,304","27,031","May 21, 2025 07:15 am",corindaman,9963719
31,So Happy together...,https://www.themagiccafe.com/forums/viewforum.php?forum=31&33851,"News and views on conventions, lectures, club meetings, etc.","4,492","33,851","May 25, 2025 10:06 pm",Ben Train,9964359
40,I want to see the manager!,https://www.themagiccafe.com/forums/viewforum.php?forum=40&9753,Do you have an idea or suggestion for our menu? Or just a question? Post it here,"2,261","9,753","May 7, 2025 11:01 pm",ed rhodes,9962027
337,Deck the Halls,https://www.themagiccafe.com/forums/viewforum.php?forum=337&1612,"This forum is strictly for the review of playing cards, card clips & other playing card related items. Is it a great product or simply more of the same? You decide. Any off topic material will be removed.","1,007","1,612","May 17, 2025 08:49 pm",smithart,9963300
11,F/X,https://www.themagiccafe.com/forums/viewforum.php?forum=11&27129,"Discussions on the use of lights, music, sound, fog, backdrops, etc.","2,803","27,129","Apr 18, 2025 10:31 pm",Carl Andrews,9959542
44,Tricky business,https://www.themagiccafe.com/forums/viewforum.php?forum=44&90215,"Discussions on working cruise ships, & doing trade shows. Topics may also include routine ideas for motivational magic & other specialized programs. This is also the area to talk about the business side of magic (e.g, contracts, promotions, taxes, etc)","5,544","90,215","May 21, 2025 02:49 pm",Mindpro,9963759
70,Books/Pamphlets/Notes,https://www.themagiccafe.com/forums/viewforum.php?forum=70&20,A cover to cover look...,20,20,"Sep 25, 2007 02:57 am",Steve Brooks,5226495
197,The Society of American Magicians!,https://www.themagiccafe.com/forums/viewforum.php?forum=197&3946,"This forum is for the discussion of topics involving the S.A.M. Posts may include questions about joining, club meetings, lectures, convention information and the like. Remember, S.A.M. subject matter only.",821,"3,946","Apr 19, 2025 02:53 pm",Rainboguy,9959634
198,The Fellowship of Christian Magicians!,https://www.themagiccafe.com/forums/viewforum.php?forum=198&5189,"This forum is for the discussion of topics involving the FCM. Posts may include questions about joining, club meetings, lectures, convention information and the like. Remember, FCM subject matter only.",698,"5,189","May 15, 2025 10:52 am",Russo,9962918
190,"If right you win, if wrong you lose...",https://www.themagiccafe.com/forums/viewforum.php?forum=190&7189,"Serious discussions on Three Card Monte, Fast and Loose, The Shell Game and other such scams.",639,"7,189","May 2, 2025 01:20 pm",Mr. Bones,9961416
32,"Not very magical, still...",https://www.themagiccafe.com/forums/viewforum.php?forum=32&481960,A place to discuss things which have nothing to do with magic,"20,863","481,960","May 26, 2025 12:03 am",daffydoug,9964370
27,Food for thought,https://www.themagiccafe.com/forums/viewforum.php?forum=27&105381,"This is the area to discuss creativity,theory,and psychology in our magic","4,481","105,381","May 24, 2025 06:29 am",critter,9964139
242,Periods & styles of Magic,https://www.themagiccafe.com/forums/viewforum.php?forum=242&2004,This forum is for specific discussions surrounding various Time Periods and Character Based Magic performing.,180,"2,004","May 13, 2025 01:20 am",critter,9962600
275,APPearing Soon...,https://www.themagiccafe.com/forums/viewforum.php?forum=275&2496,"This forum provided as a place where folks can discuss the latest rumors, read announcements and speculate about the obvious hyperbole surrounding many of the upcoming APP products that are being released for the Apple iPhone, iPad, iTouch and various Android based devices. Will they be useful for real magicians or just a novelty best left for the layperson?",141,"2,496","May 19, 2025 06:22 am",simplymagicweb,9963475
192,Step right up!,https://www.themagiccafe.com/forums/viewforum.php?forum=192&6507,"The art and practice of the pitch. Discussions and topics on selling the Wondermouse, Svengali decks, fuzzy worms, steak knifes, candy, etc.",637,"6,507","Sep 22, 2024 01:58 pm",Frosty,9927680
289,The Wizard Magic Review,https://www.themagiccafe.com/forums/viewforum.php?forum=289&9448,"Are you a fan of the Wizard Magic Review? If so, you'll be happy to know that this is the official forum to discuss all the things that are reviewed on the show. Remember, only Wizard magic Review material, anything else will be removed. Look inside for all the details!",559,"9,448","May 21, 2025 08:16 pm",gtx magic,9963794
110,"Books, Pamphlets & Lecture Notes",https://www.themagiccafe.com/forums/viewforum.php?forum=110&61636,"This area for reviews of books, pamphlets and notes only.","5,015","61,636","May 25, 2025 05:26 pm",dbootcheck,9964331
387,SansMinds Magic,https://www.themagiccafe.com/forums/viewforum.php?forum=387&2113,"This forum dedicated to discussions surrounding the SansMinds magic company and its unique line of magical creations. Topics may include history, collections, tricks, video's, etc. If you are a SansMinds fan then this is the forum for you!",42,"2,113","Dec 22, 2024 09:43 pm",LeoTheJet,9940505
236,REEL MAGIC MAGAZINE - TV For Magicians,https://www.themagiccafe.com/forums/viewforum.php?forum=236&2103,Topics and discussions surrounding this DVD based magic magazine. All off-topic matter will be removed with no explanation given.,299,"2,103","May 14, 2025 09:59 pm",critter,9962850
332,The Depository,https://www.themagiccafe.com/forums/viewforum.php?forum=332&828,"General discussions on the history of playing cards, preservation, care and maintenance & storing of your prized decks. This is also the place to talk about your collection & share photos with the community.",247,828,"May 22, 2025 08:23 pm",obsidian52,9963941
41,New to magic?,https://www.themagiccafe.com/forums/viewforum.php?forum=41&108735,"If you are a beginner, here is the place to seek advice and ask questions.","7,925","108,735","May 25, 2025 07:05 pm",smithart,9964343
207,Canadian Association of Magicians!,https://www.themagiccafe.com/forums/viewforum.php?forum=207&3835,"This forum is for the discussion of topics involving the C.A.M. Posts may include questions about joining, club meetings, lectures, convention information and the like. Remember, C.A.M. subject matter only.",601,"3,835","May 19, 2025 04:11 pm",Doug Arden,9963530
34,Where to put it all...,https://www.themagiccafe.com/forums/viewforum.php?forum=34&12338,General discussions on prop management,"1,056","12,338","Apr 12, 2025 04:15 pm",Brian Proctor,9958775
258,Tenyo of Japan,https://www.themagiccafe.com/forums/viewforum.php?forum=258&18092,"This forum dedicated to discussions surrounding the Tenyo Magic company and its unique line of magical products. Topics may include history, collections, tricks, etc. If you are a Tenyo fan then this is the forum for you!","1,493","18,092","May 21, 2025 07:40 pm",wally,9963790
133,For the record,https://www.themagiccafe.com/forums/viewforum.php?forum=133&1601,"This forum is for topics and discussions related to the history and origins of various sleights, moves, and handlings.",178,"1,601","Mar 31, 2025 12:04 am",motown,9956824
161,Once upon a time...,https://www.themagiccafe.com/forums/viewforum.php?forum=161&2651,Magic routines presented in story form,325,"2,651","May 19, 2025 04:27 am",motown,9963468
180,Catch this if you can!,https://www.themagiccafe.com/forums/viewforum.php?forum=180&8068,"General discussions on juggling, diabolo, devil sticks, yo-yo, unicycle, poi, meteors and the fine art of contact juggling.","1,019","8,068","Dec 13, 2024 04:51 pm",gallagher,9939230
333,The Magic Word by Scott Wells,https://www.themagiccafe.com/forums/viewforum.php?forum=333&583,"Thru your host Scott Wells you will enjoy seeing the sights, watching the videos, and listen to podcasts with magicians talking about their magic, magic conventions and what's going on in the magic scene today. Look inside for full details!",412,583,"Mar 25, 2025 04:12 am",BAGWIZ,9955954
169,A Hundreth Pleasant Conceipts - by Curtis Kam,https://www.themagiccafe.com/forums/viewforum.php?forum=169&17,Adventures in advanced coinmanship.,10,17,"Nov 9, 2005 10:58 am",Curtis Kam,4329138
73,Pasteboard Frolics,https://www.themagiccafe.com/forums/viewforum.php?forum=73&11736,You take card flourishes seriously? Are you really into XCM? Do you see yourself as part of the Cardistry crowd? Then this is the forum for you!,984,"11,736","Jan 21, 2025 02:52 am",smithart,9944184
217,You Oughta Be In Pictures,https://www.themagiccafe.com/forums/viewforum.php?forum=217&39079,"Forum for posts focusing on user-submitted videos or images. All media content should be appropriate for all audiences and must not contain any copyrighted intellectual property without the permission of the respective copyright holder. In addition, absolutely no exposure videos will be allowed - no exceptions.","5,809","39,079","May 3, 2025 08:19 pm",Aurum,9961582
228,ANTINOMY - Perception & Deception,https://www.themagiccafe.com/forums/viewforum.php?forum=228&445,Discussions pertaining to the tricks and articles which appear between the covers of this magical tome. Off-topic postings will be removed.,35,445,"Sep 29, 2024 08:45 pm",Recoplon,9928787
36,Did you hear the latest?,https://www.themagiccafe.com/forums/viewforum.php?forum=36&30120,"Discussions on the latest news, gossip and rumors in the magic community.","2,885","30,120","May 23, 2025 05:22 pm",ThomasJ,9964048
239,I.B.M. Youth,https://www.themagiccafe.com/forums/viewforum.php?forum=239&193,"I.B.M. Youth! This forum is for the discussion of topics involving the I.B.M. Youth. Posts may include questions about joining, events, etc. Remember, I.B.M. Youth subject matter only.",65,193,"Sep 4, 2023 10:52 pm",om_darji,9858436
206,All in the cards,https://www.themagiccafe.com/forums/viewforum.php?forum=206&12664,"This forum created for the discussion of tricks and effects which are pretty much self-working or extremely easy to do. (e.g, no sleights, semi-automatic, no skill).","1,041","12,664","May 15, 2025 05:09 pm",room412,9962976
20,Up in Smoke!,https://www.themagiccafe.com/forums/viewforum.php?forum=20&8955,"If you love to play with fire...Remember, this forum is for discussions on routines and possible presentational ideas for effects with fire - NOT methods or recipes for fuel mixtures.","1,333","8,955","Mar 24, 2025 01:37 pm",georgebd,9955815
